temperature,humidity,wind_speed,pressure,rain
33.3,31.8,12.4,996.7,1
34.2,92.5,3.9,1002.7,1
23.2,65.4,1.2,996.0,1
31.1,45.4,26.5,1014.3,0
37.3,78.9,15.3,994.7,1
26.1,36.5,4.4,1015.4,0
37.4,81.1,24.1,1019.2,1
31.2,88.1,27.8,1015.9,1
34.9,33.2,10.3,998.7,0
23.6,37.1,12.5,1009.1,0
26.9,44.7,12.0,1018.1,0
32.6,42.0,32.8,994.9,1
41.7,74.8,25.1,1010.5,1
36.6,46.0,1.4,999.5,0
23.1,96.0,39.4,999.4,1
27.5,94.0,20.6,997.9,1
31.5,48.4,26.3,1016.9,0
23.3,99.8,22.9,992.7,1
20.6,73.9,35.6,1002.7,1
27.2,99.7,23.8,1019.1,1
18.3,80.5,30.7,1006.1,1
33.4,37.8,19.6,1003.6,1
39.0,48.4,22.5,995.4,1
38.9,50.9,28.8,1008.3,0
36.3,67.8,35.0,1005.9,0
25.8,31.4,41.8,1016.4,1
25.4,34.1,39.5,1018.4,0
29.7,34.8,34.2,1013.0,0
29.4,68.5,11.9,1016.2,0
23.1,67.8,32.8,996.0,1
41.9,75.5,19.7,1005.5,0
23.4,53.7,26.5,996.9,1
19.7,74.2,10.3,1017.2,1
19.7,46.7,30.1,996.4,1
40.5,70.0,21.3,1013.5,0
22.6,36.8,19.4,1002.7,1
35.5,77.1,44.3,993.0,1
26.1,90.3,11.2,995.7,1
28.1,49.5,11.2,1017.7,0
38.7,68.5,2.3,1020.0,0
41.3,94.8,38.2,995.0,1
23.1,58.1,2.6,1001.4,1
24.4,84.9,20.5,1002.7,1
41.9,68.9,32.3,994.6,0
41.2,70.5,24.4,1012.4,1
32.0,65.2,38.4,994.7,1
19.9,43.0,26.8,1010.3,0
20.9,92.3,11.1,1007.8,1
28.1,70.9,23.5,1018.0,1
35.2,46.7,17.8,1010.2,0
25.6,82.6,3.3,1003.7,1
41.9,35.1,9.6,998.0,1
39.1,91.5,16.6,994.7,1
34.9,72.8,44.4,1009.6,1
37.6,51.0,29.9,1018.2,0
20.8,37.5,24.9,998.2,1
35.2,44.3,28.5,997.9,1
39.7,89.2,4.2,1002.7,1
18.1,84.0,28.7,997.9,1
31.2,59.9,0.4,992.3,1
39.7,68.2,37.6,1007.5,0
21.1,51.6,40.5,1013.9,1
39.6,44.7,11.2,993.1,1
39.2,58.4,27.9,994.6,1
